"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"282",NA,"Coutu, Jean","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,351,1.29999995231628,452,1.10000002384186,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,765
"283",NA,"McCain, Wallace","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,258,1.70000004768372,387,1.29999995231628,274,1.29999995231628,NA,NA,NA,NA,"",NA,NA,NA,NA,2704
"284",NA,"Irving, James, Arthur and John","Canada",NA,NA,"",2000,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,107,4.09999990463257,111,3.70000004768372,84,4,"diversified, including Irving Oil",90,3.5,NA,NA,1679
"285",NA,"David Azrieli","Canada",NA,NA,"",2014,520,91,3.09999990463257,"shopping malls",437,90,3.09999990463257,"shopping malls",401,89,2.90000009536743,"shopping malls",362,88,3.09999990463257,"shopping malls",374,87,2.5,"Canada",318,"86",2.09999990463257,"Canada",573,"85",2.09999990463257,"Canada",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,818
"286",NA,"Eric Sprott","Canada",NA,NA,"",2012,NA,NA,NA,"",NA,NA,NA,"",1075,67,1.10000002384186,"Asset management",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1084
"287",NA,"Weston, Galen & family","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,98,4,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4278
"288",NA,"Irving","Canada",NA,NA,"",1996,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,70,3.5,1677
"289",NA,"James Balsillie","Canada",NA,NA,"",2011,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",692,50,1.79999995231628,"Research in Motion",421,49,2.29999995231628,"Canada",430,"48",1.70000004768372,"Canada",327,"47",3.40000009536743,"Canada",618,"46",1.60000002384186,"Canada",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1744
"290",NA,"McCain, Harrison","Canada",NA,NA,"",2002,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,293,1.5,452,1.10000002384186,301,1.10000002384186,244,1.5,NA,NA,"",NA,NA,NA,NA,2703
"291",NA,"Rogers, Edward S. (Ted)","Canada",NA,NA,"",2001,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,452,1.10000002384186,232,1.70000004768372,276,1.20000004768372,NA,NA,"",NA,NA,NA,NA,3457
