"","rank15","name","citizenship","age15","networth15","source15","year","rank14","age14","networth14","source14","rank13","age13","networth13","source13","rank12","age12","networth12","source12","rank11","age11","networth11","source11","rank10","age10","networth10","residence10","rank09","age09","networth09","residence09","rank08","age08","networth08","residence08","rank07","age07","networth07","residence07","rank06","age06","networth06","residence06","rank05","age05","networth05","residence05","rank04","age04","networth04","residence04","rank03","age03","networth03","v6","rank02","networth02","rank01","networth01","rank00","networth00","rank99","networth99","rank98","networth98","source98","rank97","networth97","rank96","networth96","case"
"38",782,"Mikhail Gutseriev","Russia",56,2.40000009536743,"Oil, Real Estate",2015,483,55,3.29999995231628,"oil, real estate",458,55,3,"oil, real estate",141,54,6.69999980926514,"oil, real estate",459,53,2.5,"Oil, real estate",437,52,2.20000004768372,"United Kingdom",376,"51",1.89999997615814,"United Kingdom",446,"50",2.59999990463257,"United Kingdom",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2815
"39",782,"Alexander Ponomarenko","Russia",50,2.40000009536743,"Port",2015,764,49,2.29999995231628,"port",704,48,2.09999990463257,"port",764,47,1.70000004768372,"port",736,46,1.70000004768372,"port",880,45,1.10000002384186,"Russia",NA,"",NA,"",843,"43",1.39999997615814,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,143
"40",782,"Alexander Skorobogatko","Russia",47,2.40000009536743,"Port",2015,764,46,2.29999995231628,"port",704,45,2.09999990463257,"port",764,44,1.70000004768372,"port",736,43,1.70000004768372,"port",880,42,1.10000002384186,"Russia",NA,"",NA,"",843,"40",1.39999997615814,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,149
"41",810,"Vyacheslav Kantor","Russia",61,2.29999995231628,"Fertilizer, Real Estate",2015,869,60,2,"fertilizer, real estate",613,59,2.40000009536743,"fertilizer, real estate",546,58,2.29999995231628,"fertilizer, real estate",782,57,1.60000002384186,"fertilizer, real estate",773,56,1.29999995231628,"Switzerland",NA,"",NA,"",446,"54",2.59999990463257,"Switzerland",717,"53",1.39999997615814,"Switzerland",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4170
"42",894,"Igor Makarov","Russia",52,2.09999990463257,"Gas",2015,828,51,2.09999990463257,"gas",792,50,1.89999997615814,"gas",854,49,1.5,"gas",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1656
"43",949,"Vasily Anisimov","Russia",63,2,"Metals, Real Estate",2015,663,62,2.59999990463257,"metals, real estate",490,61,2.90000009536743,"metals, real estate",330,60,3.40000009536743,"metals, real estate",304,59,3.59999990463257,"metals, real estate",616,58,1.60000002384186,"Russia",NA,"",NA,"",260,"56",4,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4109
"44",949,"Andrei Kozitsyn","Russia",54,2,"Metals",2015,931,53,1.89999997615814,"metals",1175,52,1.20000004768372,"metals",1015,51,1.20000004768372,"metals",833,50,1.5,"metals",828,49,1.20000004768372,"Russia",NA,"",NA,"",743,"47",1.60000002384186,"Russia",664,"46",1.5,"Russia",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,245
"45",949,"Vladimir Bogdanov","Russia",63,2,"Oil",2015,663,62,2.59999990463257,"oil",423,61,3.20000004768372,"oil",401,60,2.90000009536743,"oil",336,59,3.29999995231628,"oil",400,58,2.40000009536743,"Russia",376,"57",1.89999997615814,"Russia",446,"56",2.59999990463257,"Russia",237,"55",3.70000004768372,"Russia",158,54,4.09999990463257,"Russia",272,53,2.29999995231628,"Russia , Surgut",342,52,1.70000004768372,"Russia , Surgut",427,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4152
"46",1006,"Vadim Moshkovich","Russia",47,1.89999997615814,"Agriculture, Land",2015,1284,46,1.29999995231628,"agriculture, development",704,45,2.09999990463257,"agriculture, development",719,44,1.79999995231628,"agriculture, development",782,43,1.60000002384186,"agriculture, development",NA,NA,NA,"",NA,"",NA,"",1062,"40",1,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4097
"47",1006,"Aras Agalarov","Russia",59,1.89999997615814,"Real Estate",2015,988,58,1.79999995231628,"real estate",831,57,1.79999995231628,"real estate",804,56,1.60000002384186,"retail, real estate",833,55,1.5,"retail, real estate",880,54,1.10000002384186,"Russia",NA,"",NA,"",962,"52",1.20000004768372,"Russia",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,307
"48",1054,"Alexander Frolov","Russia",50,1.79999995231628,"Mining, Steel",2015,1154,49,1.5,"mining, steel",736,48,2,"mining, steel",521,47,2.40000009536743,"mining, steel",336,46,3.29999995231628,"mining, steel",354,45,2.79999995231628,"Russia",397,"44",1.79999995231628,"Russia",178,"43",5.5,"Russia",390,"42",2.40000009536743,"Russia",335,41,2.29999995231628,"Russia",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,133
"49",1105,"Yuri Shefler","Russia",47,1.79999995231628,"Alcohol",2015,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,4443
